,Patrocinador do Estudo,Número do Processo,Nome ou Código do Medicamento Experimental,Classe Terapêutica,Tipo de Medicamento Experimental,Doença,CID10,Nome do Protocolo Clínico,Título do Estudo,Fase do Estudo,Tipo de Estudo,Situação do Estudo,Instituição de Pesquisa,Investigador,Número de Pacientes,Unnamed: 0,NCT Number,Intervention Type,Intervention,Start Date,Completion Date,First Posted
0,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO,CMPI CENTRO MINEIRO DE PESQUISA,WANDER BARROS DO CARMO,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
1,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO FACULDADE DE MEDICINA MECMPAS,IRENE DE LOURDES NORONHA,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
2,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO OSWALDO RAMOS,JULIANA MANSUR SILIANO,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
3,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO PIO XII,ANA BEATRIZ SANTOS BACCHIEGA DE FREITAS,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
4,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, SANTA CASA DE MISERICORDIA DE BELO HORIZONTE,MARIANA PEIXOTO GUIMARAES UBIRAJARA E SILVA DE SOUZA,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
5,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, SER SERVICOS ESPECIALIZADOS EM REUMATOLOGIA,MITTERMAYER BARRETO SANTIAGO,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
6,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, SOCIEDADE BENEFICENTE DE SENHORAS HOSPITAL SIRIO LIBANES,ANA PATRÍCIA DO NASCIMENTO,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
7,NOVARTIS BIOCIENCIAS S.A,25351000038202247,IPTACOPAN (LNP023),Não há dados,SINTÉTICO/SEMISSINTÉTICO,LÚPUS ERITEMATOSO DISSEMINADO [SISTÊMICO],M32,CLNP023K12201,"ESTUDO DE FASE 2 ADAPTATIVO, RANDOMIZADO, DUPLO-CEGO, DE EXPLORAÇÃO DE DOSE, DE GRUPOS PARALELOS, CONTROLADO POR PLACEBO, MULTICÊNTRICO, PARA AVALIAR A EFICÁCIA, SEGURANÇA E TOLERABILIDADE DE LNP023 EM COMBINAÇÃO COM TRATAMENTO PADRÃO COM E SEM CORTICOSTEROIDES ORAIS EM PACIENTES ADULTOS COM NEFRITE LÚPICA ATIVA CLASSE III-IV, +/- V.VERSÃO 00 DE 26-OUT-2021.",II,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, UNIVERSIDADE FEDERAL DA BAHIA,FERNANDA PINHEIRO MARTIN TAPIOCA,3,52446,NCT05268289,DRUG, Iptacopan (part 1),2022-08-10 00:00:00,2028-03-13 00:00:00,2022-03-07
8,PHARMACEUTICAL RESEARCH ASSOCIATES LTDA,25351003091202461,NMRA-335140 (NAVACAPRANTE),NULO,SINTÉTICO/SEMISSINTÉTICO,EPISÓDIOS DEPRESSIVOS,F32,NMRA-335140-302,"UM ESTUDO DE FASE 3, RANDOMIZADO, DUPLO-CEGO E CONTROLADO POR PLACEBO PARA AVALIAR OS EFEITOS DE NMRA-335140 POR VIA ORAL VERSUS PLACEBO EM PARTICIPANTES COM TRANSTORNO DEPRESSIVO MAIOR. VERSÃO 2.0, DATADO DE 16 DE NOVEMBRO DE 2023.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO,Não há dados,Não há dados,Não há dados,118213,NCT06058013,DRUG, NMRA-335140,2023-12-20 00:00:00,2025-05-01 00:00:00,2023-09-28
9,PHARMACEUTICAL RESEARCH ASSOCIATES LTDA,25351003092202414,NMRA-335140 (NAVACAPRANTE),NULO,SINTÉTICO/SEMISSINTÉTICO,EPISÓDIOS DEPRESSIVOS,F32,NMRA-335140-501,"ESTUDO EM LONGO PRAZO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE NMRA335140 EM PARTICIPANTES COM TRANSTORNO DEPRESSIVO MAIOR. VERSÃO 2.0, DATADO DE 16 DE NOVEMBRO DE 2023.",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO,Não há dados,Não há dados,Não há dados,276834,NCT06029439,DRUG, NMRA-335140,2023-11-10 00:00:00,2026-09-01 00:00:00,2023-09-08
